metric,week_id,year,count,week,class
APAC,Week 18,2020,104,18,train
European Union,Week 18,2020,131,18,train
North America,Week 18,2020,235,18,train
Demo,Week 19,2020,96,19,train
Chat,Week 19,2020,153,19,train
Signup,Week 19,2020,267,19,train
Overall,Week 19,2020,518,19,train
Direct,Week 19,2020,96,19,train
Organic,Week 19,2020,172,19,train
Paid,Week 19,2020,183,19,train
APAC,Week 19,2020,104,19,train
European Union,Week 19,2020,139,19,train
North America,Week 19,2020,205,19,train
Demo,Week 20,2020,114,20,train
Chat,Week 20,2020,164,20,train
Signup,Week 20,2020,259,20,train
Overall,Week 20,2020,539,20,train
Direct,Week 20,2020,93,20,train
Organic,Week 20,2020,180,20,train
Paid,Week 20,2020,198,20,train
APAC,Week 20,2020,116,20,train
European Union,Week 20,2020,136,20,train
North America,Week 20,2020,214,20,train
Demo,Week 21,2020,112,21,train
Chat,Week 21,2020,148,21,train
Signup,Week 21,2020,235,21,train
Overall,Week 21,2020,495,21,train
Direct,Week 21,2020,105,21,train
Organic,Week 21,2020,183,21,train
Paid,Week 21,2020,144,21,train
APAC,Week 21,2020,111,21,train
European Union,Week 21,2020,136,21,train
North America,Week 21,2020,201,21,train
Demo,Week 22,2020,118,22,train
Chat,Week 22,2020,147,22,train
Signup,Week 22,2020,232,22,train
Overall,Week 22,2020,497,22,train
Direct,Week 22,2020,92,22,train
Organic,Week 22,2020,162,22,train
Paid,Week 22,2020,166,22,train
APAC,Week 22,2020,83,22,train
European Union,Week 22,2020,132,22,train
North America,Week 22,2020,206,22,train
Demo,Week 23,2020,89,23,train
Chat,Week 23,2020,147,23,train
Signup,Week 23,2020,259,23,train
Overall,Week 23,2020,495,23,train
Direct,Week 23,2020,95,23,train
Organic,Week 23,2020,179,23,train
Paid,Week 23,2020,149,23,train
APAC,Week 23,2020,115,23,train
European Union,Week 23,2020,135,23,train
North America,Week 23,2020,192,23,train
Demo,Week 24,2020,100,24,train
Chat,Week 24,2020,138,24,train
Signup,Week 24,2020,200,24,train
Overall,Week 24,2020,438,24,train
Direct,Week 24,2020,106,24,train
Organic,Week 24,2020,137,24,train
Paid,Week 24,2020,142,24,train
APAC,Week 24,2020,79,24,train
European Union,Week 24,2020,127,24,train
North America,Week 24,2020,195,24,train
Demo,Week 25,2020,111,25,train
Chat,Week 25,2020,146,25,train
Signup,Week 25,2020,244,25,train
Overall,Week 25,2020,502,25,train
Direct,Week 25,2020,92,25,train
Organic,Week 25,2020,176,25,train
Paid,Week 25,2020,180,25,train
APAC,Week 25,2020,104,25,train
European Union,Week 25,2020,125,25,train
