metric,week_id,year,count,week,class,se,holt,arima,tbats
Overall,Week 44,2020,474,44,test,510.08854386545806,517.0771759456092,520.1800309930043,497.86812971252306
Overall,Week 45,2020,430,45,test,510.08854386545806,520.2359309147918,496.6742560612636,495.86999482054523
Overall,Week 46,2020,472,46,test,510.08854386545806,523.3946858839745,483.5900194043759,494.13615561115597
Overall,Week 47,2020,341,47,test,510.08854386545806,526.5534408531571,476.3068198761497,492.63165337955735
Overall,Week 48,2020,NA,48,test,510.08854386545806,529.7121958223398,472.2527052373694,491.3261534504823
Overall,Week 49,2020,NA,49,test,510.08854386545806,532.8709507915224,469.9960259523004,490.1933335522998
Overall,Week 50,2020,NA,50,test,510.08854386545806,536.0297057607052,468.73986971366185,489.2103530916057
Overall,Week 51,2020,NA,51,test,510.08854386545806,539.1884607298878,468.04064386162753,488.35739262749615
Overall,Week 52,2020,NA,52,test,510.08854386545806,542.3472156990705,467.65142731585536,487.61725426012686
Overall,Week 53,2020,NA,53,test,510.08854386545806,545.5059706682531,467.43477411422947,486.9750148763543
Direct,Week 43,2020,110,43,test,107.58148230295772,111.32550493662073,110.29477577766774,105.92825690855547
Direct,Week 44,2020,95,44,test,107.58148230295772,112.19182247542392,105.3881619365989,105.02572689210021
Direct,Week 45,2020,93,45,test,107.58148230295772,113.05814001422709,107.51966590438634,104.23818245836188
Direct,Week 46,2020,92,46,test,107.58148230295772,113.92445755303028,106.59370977417987,103.5509740289423
Direct,Week 47,2020,69,47,test,107.58148230295772,114.79077509183345,106.99595849997368,102.95131843462416
Direct,Week 48,2020,NA,48,test,107.58148230295772,115.65709263063664,106.82121583979315,102.42806112810251
Direct,Week 49,2020,NA,49,test,107.58148230295772,116.52341016943981,106.89712657692901,101.97146869167305
Direct,Week 50,2020,NA,50,test,107.58148230295772,117.389727708243,106.86414985558028,101.57304778018985
Direct,Week 51,2020,NA,51,test,107.58148230295772,118.25604524704617,106.8784754199463,101.22538713134416
Direct,Week 52,2020,NA,52,test,107.58148230295772,119.12236278584936,106.8722521877385,100.92201970440401
Direct,Week 53,2020,NA,53,test,107.58148230295772,119.98868032465253,106.87495564975386,100.6573023829762
Organic,Week 43,2020,115,43,test,167.61953388807277,170.18692100576874,152.78571428570538,163.28914905183825
Organic,Week 44,2020,148,44,test,167.61953388807277,171.46968293110803,152.78571428570538,162.66453965679423
Organic,Week 45,2020,141,45,test,167.61953388807277,172.75244485644728,152.78571428570538,162.10697537007468
Organic,Week 46,2020,150,46,test,167.61953388807277,174.03520678178657,152.78571428570538,161.60925961957247
Organic,Week 47,2020,109,47,test,167.61953388807277,175.31796870712586,152.78571428570538,161.1649683078827
Organic,Week 48,2020,NA,48,test,167.61953388807277,176.60073063246514,152.78571428570538,160.7683668954423
Organic,Week 49,2020,NA,49,test,167.61953388807277,177.88349255780443,152.78571428570538,160.41433638390365
Organic,Week 50,2020,NA,50,test,167.61953388807277,179.16625448314372,152.78571428570538,160.09830724439783
Organic,Week 51,2020,NA,51,test,167.61953388807277,180.44901640848298,152.78571428570538,159.81620043788922
Organic,Week 52,2020,NA,52,test,167.61953388807277,181.73177833382226,152.78571428570538,159.56437476636114
Organic,Week 53,2020,NA,53,test,167.61953388807277,183.01454025916155,152.78571428570538,159.33957987528632
Paid,Week 43,2020,161,43,test,160.1981929115375,162.00687063198686,159.31814926611898,160.89993826324817
Paid,Week 44,2020,161,44,test,160.1981929115375,163.0168265431193,161.70094485506146,161.1843052858618
Paid,Week 45,2020,140,45,test,160.1981929115375,164.02678245425176,161.44196206695798,161.42225638656078
Paid,Week 46,2020,155,46,test,160.1981929115375,165.03673836538422,161.3176896527113,161.6213678229132
Paid,Week 47,2020,111,47,test,160.1981929115375,166.0466942765167,161.25805776344257,161.78797921479105
Paid,Week 48,2020,NA,48,test,160.1981929115375,167.05665018764913,161.22944351112184,161.92739539505678
Paid,Week 49,2020,NA,49,test,160.1981929115375,168.0666060987816,161.21571301480662,162.04405531309007
Paid,Week 50,2020,NA,50,test,160.1981929115375,169.07656200991406,161.209124461419,162.1416733689685
Paid,Week 51,2020,NA,51,test,160.1981929115375,170.0865179210465,161.20596295620135,162.2233576783194
Paid,Week 52,2020,NA,52,test,160.1981929115375,171.09647383217896,161.204445913741,162.29170903334375
Paid,Week 53,2020,NA,53,test,160.1981929115375,172.10642974331142,161.20371796370833,162.348903710887
APAC,Week 43,2020,104,43,test,130.42870567524602,132.4674088855309,98.76190476190477,119.48087648921992
APAC,Week 44,2020,115,44,test,130.42870567524602,133.94029674270118,98.76190476190477,118.02360769509289
APAC,Week 45,2020,83,45,test,130.42870567524602,135.4131845998715,98.76190476190477,116.72831206276524
APAC,Week 46,2020,115,46,test,130.42870567524602,136.88607245704182,98.76190476190477,115.57698652701728
APAC,Week 47,2020,72,47,test,130.42870567524602,138.35896031421214,98.76190476190477,114.55362903535084
APAC,Week 48,2020,NA,48,test,130.42870567524602,139.83184817138243,98.76190476190477,113.64401613853492
APAC,Week 49,2020,NA,49,test,130.42870567524602,141.30473602855275,98.76190476190477,112.83550530161664
APAC,Week 50,2020,NA,50,test,130.42870567524602,142.77762388572307,98.76190476190477,112.11685918775596
APAC,Week 51,2020,NA,51,test,130.42870567524602,144.25051174289337,98.76190476190477,111.47808947263927
APAC,Week 52,2020,NA,52,test,130.42870567524602,145.7233996000637,98.76190476190477,110.91031801867804
APAC,Week 53,2020,NA,53,test,130.42870567524602,147.196287457234,98.76190476190477,110.40565347947967
European Union,Week 43,2020,115,43,test,133.32519652848748,132.05205212673988,128.9161234905948,130.06812900150965
European Union,Week 44,2020,124,44,test,133.32519652848748,132.63663784571392,126.81067707235746,129.7246113530986
European Union,Week 45,2020,147,45,test,133.32519652848748,133.221223564688,125.93872343385591,129.43619585121584
European Union,Week 46,2020,145,46,test,133.32519652848748,133.80580928366203,125.5776108730658,129.1940438042656
European Union,Week 47,2020,91,47,test,133.32519652848748,134.39039500263607,125.42805902099198,128.99073429607543
European Union,Week 48,2020,NA,48,test,133.32519652848748,134.9749807216101,125.36612332866997,128.82003676681185
European Union,Week 49,2020,NA,49,test,133.32519652848748,135.55956644058415,125.34047316165291,128.67672007318512
European Union,Week 50,2020,NA,50,test,133.32519652848748,136.14415215955822,125.32985035203639,128.55639217646214
European Union,Week 51,2020,NA,51,test,133.32519652848748,136.72873787853226,125.3254510011833,128.45536554541602
European Union,Week 52,2020,NA,52,test,133.32519652848748,137.3133235975063,125.32362904553997,128.37054414939323
European Union,Week 53,2020,NA,53,test,133.32519652848748,137.89790931648034,125.32287449731751,128.29932857832296
North America,Week 43,2020,178,43,test,181.43168349601166,184.79804745907538,189.74808768929518,187.14855954209503
North America,Week 44,2020,181,44,test,181.43168349601166,185.2874255700928,176.10581696871384,188.11991154857552
North America,Week 45,2020,153,45,test,181.43168349601166,185.77680368111024,186.36710003663111,188.94401519182586
North America,Week 46,2020,165,46,test,181.43168349601166,186.26618179212767,183.4333335126743,189.64319201988351
North America,Week 47,2020,119,47,test,181.43168349601166,186.7555599031451,186.5696045239408,190.2363798317523
North America,Week 48,2020,NA,48,test,181.43168349601166,187.24493801416253,186.11931084794776,190.73964562379405
North America,Week 49,2020,NA,49,test,181.43168349601166,187.73431612517996,187.16461432986142,191.1666207779893
North America,Week 50,2020,NA,50,test,181.43168349601166,188.22369423619736,187.20506768413682,191.528870279511
North America,Week 51,2020,NA,51,test,181.43168349601166,188.7130723472148,187.59048157154825,191.83620596418348
North America,Week 52,2020,NA,52,test,181.43168349601166,189.20245045823222,187.67997623730915,192.0969522804001
North America,Week 53,2020,NA,53,test,181.43168349601166,189.69182856924965,187.83657241751035,192.31817176388768
